State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL,Built 2020 or later,Built 2010 to 2019,Built 2000 to 2009,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier,Complete plumbing facilities,Lacking complete plumbing facilities,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999","$250,000 to $299,999","$300,000 to $399,999","$400,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 to $1,499,999","$1,500,000 to $1,999,999","$2,000,000 or more",Total Owner occupied,Total Renter occupied,Under 19 years:,Under 19 years With health insurance coverage,Under 19 years No health insurance coverage,19 to 64 years:,19 to 64 years With health insurance coverage,19 to 64 years No health insurance coverage,65 years and over:,65 years and over With health insurance coverage,65 years and over No health insurance coverage,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and  health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Income in the past 12 months below poverty level:,Income in the past 12 months below poverty level Under 18 years,Income in the past 12 months below poverty level 18 to 64 years,Income in the past 12 months below poverty level 65 years and over,Income in the past 12 months at or above poverty level:,Income in the past 12 months at or above poverty level Under 18 years,Income in the past 12 months at or above poverty level 18 to 64 years,Income in the past 12 months at or above poverty level 65 years and over
AL,Autauga,2021.0,4045.0,238,SD,SD,SD,SD,0,SD,0,0,0,0,0.0029375258585022756,0.10128258171286719,0.21617707902358296,0.21592883740173768,0.0983864294580058,0.1784857261067439,0.11692180388911874,0.03558129913115432,0.013529168390566818,0.020769549027720314,0.9949670571010248,0.00503294289897511,0.032353484932519876,0.020028347815369447,0.01904233684599741,0.00893572440993406,0.008319467554076539,0.00949035558020583,0.0015406421396438035,0.0230480064090713,0.024896776976643865,0.018610957046897147,0.013865779256794232,0.06446046712269674,0.03863930486226659,0.09662907499845935,0.05725026190916374,0.10574967646515067,0.08227029025697911,0.14531336661120356,0.07832624637949097,0.09687557774080237,0.028039686941517223,0.02354101189375732,0.0019103962531583163,0.0001232513711715043,0.0,0.0007395082270290257,,,0.2564418256969484,0.24921291003429777,0.007228915662650603,0.5809691320024624,0.5228739776624747,0.05809515433998769,0.1625890423005892,0.16153372614545775,0.0010553161551314749,0.01113425487597046,0.06441961749668623,0.1507669002082939,0.011550842643438742,0.1138042037492899,0.06612384018178376,0.023594016284794548,0.052868774853247494,0.08286309411096383,0.20689263397083885,0.0975194092028025,0.0446885059647794,0.07377390645711039,0.27854572997538346,0.1481916303730354,0.2710471501609544,0.11903048665025563,0.18318500284037115,0.062251497414719886,0.013788160611593658,0.04230303237146124,0.006160304431664989,0.9377485025852801,0.2184263067183154,0.5677377519154964,0.15158444395146842
AL,Baldwin,2021.0,14651.0,552,SD,SD,0,0.00%,SD,0,0,0,0,0,0.0036217898704861084,0.13500817161206607,0.2720859374358385,0.23495643175677342,0.152805039297652,0.09018338904264843,0.051099266608082915,0.023890672864499068,0.01413401443788343,0.02221528707407012,0.9972703291661887,0.0027296708338112167,0.011570149608875405,0.009235299366467387,0.008209154992415455,0.006037892983551947,0.002647155051902085,0.007301983879123167,0.0017399839386097974,0.008699919693048987,0.012700395586092025,0.010365545343684007,0.012596293982927336,0.021519288539900656,0.017503940989262664,0.05175336843044526,0.0635763362184349,0.09006275839505071,0.08729663008238898,0.1450135332084114,0.10106778501531781,0.14989143689955683,0.06757681211147795,0.06356146456083996,0.02786948633294667,0.014023973112043068,0.0017102406234198865,0.006469171053805657,0.7585144253759099,0.24148557462409012,0.22267089702913181,0.2099458762449312,0.012725020784200614,0.5639983711973396,0.49180084494138004,0.07219752625595956,0.21333073177352857,0.21005615975839428,0.0032745720151342913,0.00775734727722548,0.09238130624303334,0.08059122586024088,0.024142024703888643,0.15608942698940614,0.03144625590183693,0.010349171250691002,0.07100328962273555,0.1285490316909386,0.19628082322129284,0.10150706407967593,0.05016901229757039,0.04973402086146429,0.36873680299419104,0.16405520766309914,0.24017870898166693,0.09028790995677273,0.13674137040427017,0.1075681301641921,0.03667452579706451,0.0598610845599949,0.011032519807132692,0.8924318698358079,0.17412434418742964,0.5156821512776397,0.20262537437073855
AL,Barbour,2021.0,1571.0,268,SD,SD,SD,SD,0,SD,SD,0,0,0,0.0,0.036856089826004974,0.09351161395388703,0.2186508956886946,0.1643953029913431,0.15008142624496443,0.12488214622439359,0.08571183680466272,0.04971286534670438,0.07619782291934517,0.9979093309859155,0.002090669014084507,0.037141846480367884,0.05341351255748143,0.039794835514679876,0.03413512557481429,0.01591793420587195,0.03784931022285108,0.008489564909798374,0.058365758754863814,0.07392996108949416,0.03590378493102229,0.0638486027591086,0.04350902016271666,0.029182879377431907,0.09780686239830208,0.0613724796604174,0.08931729748850371,0.029536611248673506,0.032189600282985495,0.0613724796604174,0.04793066855323665,0.01574106827025115,0.019632118853908736,0.008135833038556774,0.005482844004244782,0.0,0.0,,,0.2553357506770092,0.2546472667186854,0.0006884839583237711,0.5408270987285996,0.47588011199339053,0.06494698673520907,0.20383715059439114,0.20383715059439114,0.0,0.043562144597887896,0.022644191714053616,0.2426888708367181,0.012896019496344436,0.16795288383428109,0.06468318440292445,0.0,0.03482940698619009,0.04772542648253453,0.17638099106417546,0.08996750609260763,0.05270105605199025,0.04396831844029245,0.2563972380178717,0.16683590576766857,0.25121852152721363,0.12053208773354995,0.2050162469536962,0.12098958094276403,0.035158580805067244,0.06953687979070088,0.016294120346995913,0.879010419057236,0.20030293294166246,0.49116445586817825,0.18754303024739524
AL,Bibb,2021.0,1459.0,105,SD,SD,SD,SD,0,SD,0,0,0,0,0.0,0.06867857539110174,0.1483412848108288,0.20381670919782535,0.16043492732719405,0.15677354931765228,0.11061799622767114,0.04970598025074892,0.029734827471430157,0.07189615000554754,0.9930820273895242,0.006917972610475787,0.07311827956989247,0.017204301075268817,0.014874551971326165,0.018458781362007168,0.011111111111111112,0.028136200716845878,0.01827956989247312,0.04103942652329749,0.026523297491039426,0.07204301075268817,0.06039426523297491,0.06541218637992832,0.04157706093189964,0.10161290322580645,0.07186379928315412,0.09211469534050179,0.04103942652329749,0.06845878136200717,0.06236559139784946,0.0514336917562724,0.007168458781362007,0.0034050179211469536,0.0,0.007885304659498209,0.004480286738351254,0.0,,,0.20260861492759005,0.19643520237653175,0.006173412551058299,0.6113070924619384,0.5542146305235797,0.05709246193835871,0.1860842926104716,0.1860842926104716,0.0,0.029637914161890117,0.14301691597930938,0.11142178107087936,0.03592898084719698,0.14273731301551795,0.05885642387809311,0.007828882986159653,0.08052565357192787,0.04529568013420942,0.15434083601286175,0.01761498671885922,0.04599468754368796,0.12679994407940723,0.28687264084999303,0.16720257234726688,0.1314133929819656,0.23780232070459947,0.17670907311617504,0.20395469736353508,0.08823802450798367,0.1126531748978834,0.0030634979576680283,0.7960453026364649,0.11158559227627182,0.5014389157073895,0.18302079465280358
AL,Blount,2021.0,4148.0,365,0,0.00%,0,0.00%,0,0,0,0,0,0,0.0008969706853671464,0.05512292575529009,0.1941941533819872,0.22607738410731032,0.14302605292127044,0.1486117340074204,0.09377420801565621,0.04782484608798467,0.039711338524890935,0.0507603865128226,0.9944131455399061,0.005586854460093897,0.02614882893566558,0.017313963830418024,0.010257930625555885,0.01535724873999407,0.01049510821227394,0.01861844055736733,0.006225911651348948,0.02911354876964127,0.04530091906314853,0.025555884968870443,0.04951082122739401,0.049214349243996446,0.044707975096353395,0.1044767269493033,0.0911947820930922,0.10827156833679218,0.04589386302994367,0.11408241921138453,0.06546101393418322,0.06931514971835162,0.02033797806107323,0.013104061666172546,0.01393418321968574,0.003083308627334717,0.0,0.003024014230655203,,,0.2404498210938831,0.23578122337706595,0.004668597716817175,0.5808144487987732,0.49309933549156587,0.08771511330720735,0.17873573010734367,0.17873573010734367,0.0,0.023122514232238947,0.1470404741480153,0.1670825859783202,0.01727364891211105,0.1460266708258598,0.043827497465491694,0.007096623255088513,0.024877173828277314,0.1188099508695313,0.18942525150120876,0.04074709506355767,0.03263666848631366,0.042033845433985806,0.2699836231771036,0.14980893706620915,0.22358262497075568,0.19780862512672542,0.1588161896592061,0.10009941380137809,0.024664906928113538,0.06107092660519008,0.014363580268074458,0.8999005861986219,0.2023242261149772,0.5321380823420521,0.16543827774159267
AL,Bullock,2021.0,657.0,162,SD,SD,0,0.00%,SD,0,0,0,0,0,0.0026536930561698365,0.045112781954887216,0.1375497567448032,0.26006191950464397,0.14396284829721362,0.19438301636444053,0.06833259619637329,0.0583812472357364,0.024325519681556832,0.06523662096417514,1.0,0.0,0.09549549549549549,0.047747747747747746,0.033783783783783786,0.00045045045045045046,0.03918918918918919,0.026126126126126126,0.012162162162162163,0.046396396396396394,0.1045045045045045,0.07972972972972973,0.055855855855855854,0.07747747747747748,0.022072072072072072,0.1036036036036036,0.0481981981981982,0.055855855855855854,0.008108108108108109,0.01981981981981982,0.04099099099099099,0.05855855855855856,0.007207207207207207,0.0018018018018018018,0.014864864864864866,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Butler,2021.0,1328.0,127,SD,SD,SD,SD,0,0,0,SD,0,0,0.001219264377159114,0.02804308067465962,0.05567973989026621,0.2009754115017273,0.17618370249949197,0.219264377159114,0.13168055273318433,0.07762649867913025,0.038000406421459056,0.07132696606380817,0.9966314500076559,0.0033685499923442044,0.04314720812182741,0.02305414551607445,0.02305414551607445,0.015651438240270727,0.03616751269035533,0.02263113367174281,0.014805414551607445,0.05922165820642978,0.043570219966159056,0.07677664974619289,0.0687394247038917,0.05626057529610829,0.047800338409475465,0.13494077834179358,0.05012690355329949,0.10596446700507614,0.04251269035532995,0.04230118443316413,0.04928087986463621,0.025592216582064297,0.0014805414551607445,0.012901861252115059,0.0019035532994923859,0.0,0.0,0.0021150592216582064,,,0.232769899000471,0.219896383902873,0.01287351509759799,0.5790465225809828,0.4752734313674185,0.10377309121356429,0.18818357841854624,0.18818357841854624,0.0,0.010700257347961534,0.04686441825816064,0.20736827847758363,0.017201679534064745,0.12027631044290939,0.07232832182039821,0.011242042530136801,0.028443722064201545,0.04605174048489774,0.2022213192469186,0.10564811052417716,0.06311797372341867,0.06853582554517133,0.21928755248543952,0.1340918325883787,0.25260734118921846,0.12880942706216986,0.26520384667479346,0.20666352349520667,0.06726386924406727,0.11352087589711352,0.02587877835402588,0.7933364765047933,0.15144847818115145,0.4793860338414794,0.1625019644821625
AL,Calhoun,2021.0,7799.0,398,8,2.00%,SD,SD,6,SD,0,0,0,0,0.0005836722397951499,0.05117487573429733,0.1156612441632776,0.13556258472661545,0.15631119144449465,0.20259075161921977,0.11279936737460461,0.10223678264798916,0.07024777827986142,0.05283175176984486,0.9963652782481093,0.0036347217518907324,0.03775325212302408,0.013421964950224229,0.011672656722114436,0.02076905950828536,0.013994465824878344,0.02076905950828536,0.013644604179256385,0.03015171273178334,0.031105880856206865,0.04761298940873382,0.05422855507140358,0.05263827486403104,0.038580197830857796,0.12238796475939061,0.1101110015584746,0.08597054801055946,0.06551954454374861,0.0894373588626316,0.05864953404789924,0.0448459018479056,0.012658630450685411,0.01742947107280303,0.0038166724976940935,0.001876530644699596,0.0008587513119811711,9.541681244235235e-05,0.727521229638592,0.272478770361408,0.2352859050095549,0.22210975471418226,0.01317615029537264,0.5843229989267109,0.46953342466470627,0.1147895742620047,0.18039109606373419,0.17809617717122886,0.002294918892505301,0.0028948946465126857,0.05376232914952131,0.17201877545956454,0.024772027046587125,0.09100308099501665,0.05489960918922272,0.00920162941212961,0.03986683484626042,0.09267798432621327,0.21029341825024297,0.13424040032257398,0.04166580509087901,0.07270321126527574,0.30491511755340045,0.21841980107938214,0.20783275780070717,0.08676412811976593,0.18206819544674427,0.1981415080942914,0.053793311559216135,0.12173388241976711,0.022614314115308152,0.8018584919057086,0.1624893496165862,0.47850397614314116,0.16086516614598126
AL,Chambers,2021.0,2164.0,144,SD,SD,SD,SD,SD,SD,0,0,0,0,0.0031643643887299946,0.06383496622649547,0.12109779103024403,0.13625022819935495,0.12414044909633055,0.1877320026775391,0.11440394328485365,0.08203006146169294,0.05257713138197529,0.11476906225278403,0.9946658538443953,0.005334146155604663,0.027175706898448674,0.014963142259874574,0.012432610848278139,0.006931455605677192,0.018923974034547254,0.032236769721641544,0.008691825283309494,0.03729783254483442,0.04962042028826053,0.0667840246451755,0.05248102101441303,0.10012102541533723,0.042248872263175266,0.1069424579161624,0.08042688964682583,0.0993508636813731,0.0511607437561888,0.06711409395973154,0.042798987787435364,0.05633182968423369,0.0064913631862691164,0.010562218065793817,0.0023104852018923975,0.0,0.0009902079436681704,0.005611178347452965,,,0.22912774404483885,0.21315973843998132,0.015968005604857543,0.5573622139187295,0.45682508173750586,0.10053713218122373,0.21351004203643156,0.21351004203643156,0.0,0.0,0.08955325062707613,0.23205206426682937,0.0,0.1060267100535557,0.02230357263914311,0.01904955596230764,0.021286692427632026,0.08792624228865839,0.26872754389532916,0.0867059860348451,0.04067520846044336,0.025693173344180056,0.3249271235848417,0.1445325740627754,0.16527693037760152,0.12880482679140398,0.2364585451833774,0.18561484918793503,0.07873946371405915,0.0858174983112573,0.02105788716261858,0.814385150812065,0.13122264971071104,0.4894123175423654,0.19375018355898851
AL,Cherokee,2021.0,1470.0,105,0,0.00%,0,0.00%,0,0,0,0,0,0,0.002375458124066784,0.061422560065155424,0.19438034478077915,0.21392697163024296,0.16220985475770328,0.14273109814035564,0.09488258449843899,0.056671643817021854,0.03407085652232931,0.03732862766390661,1.0,0.0,0.04114631260680952,0.01985013803076114,0.012488497436571579,0.024056789798869462,0.014460365452872355,0.015249112659392664,0.013145786775338505,0.038385697383988435,0.047456290258972,0.03273300907059287,0.03391612988037334,0.05166294202708032,0.028263441566977784,0.07571973182594978,0.08045221506507165,0.1256737215722361,0.055475220191928486,0.06875246483502037,0.0588931247535165,0.08071513080057842,0.03680820297094781,0.022873668989088998,0.002892073090574471,0.01695806494018667,0.0002629157355067701,0.0017089522807940056,,,0.16778229340983344,0.16515260180094032,0.002629691608893139,0.6082157940871783,0.524782851223205,0.08343294286397322,0.2240019125029883,0.2240019125029883,0.0,0.0128373597493177,0.061356514707368845,0.17487112099464266,0.025472556352976853,0.1271606186192257,0.1801273627817649,0.0,0.030223390275952694,0.015263317497220256,0.2189426867482058,0.06863438795107651,0.04134236328717275,0.0437683210350753,0.3215404831699181,0.07308197715556454,0.2901041140200141,0.11604164560800566,0.19923178004649753,0.22563529740296007,0.060517812263134796,0.1313679339370487,0.03374955120277656,0.7743647025970399,0.10069015039693621,0.48314517094187576,0.19052938125822794
