State,County,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and  health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
NM,Chaves,0.080570763,0.064103117,0.053498297,0.041341553,0.096952192,0.075699444,0.005173083,0.024787688,0.052205027,0.28275208,0.110014226,0.029659008,0.083243523,0.366685347,0.158511877,0.201017373,0.122990042,0.150795361
NM,Cibola,,,,,,,,,,,,,,0.253517796,0.256710417,0.242639234,0.138346932,0.108785621
NM,Curry,0.109000293,0.035297567,0.059513339,0.051890941,0.140369393,0.073468191,0,0.037760188,0.038991498,0.289240692,0.083318675,0.025036646,0.056112577,0.353679273,0.213837584,0.223805336,0.059513339,0.149164468
NM,Doña Ana,0.053079198,0.099952511,0.047251063,0.00695059,0.118678093,0.045146459,0.008062253,0.025686964,0.107172923,0.262697779,0.072182529,0.068318691,0.084820947,0.382368813,0.202387377,0.187331362,0.122067045,0.105845403
NM,Eddy,0.214367487,0.081246422,0.071658558,0.012056382,0.098848025,0.036956211,0.006010303,0.022502862,0.083786491,0.250143102,0.038244133,0.02701059,0.057169433,0.349670864,0.120456497,0.166607041,0.217372639,0.145892959
NM,Grant,0.053491518,0.042564263,0.011135394,0,0.158601311,0.026745759,0.012904569,0.04745551,0.122697471,0.425122281,0.048912478,0.021126028,0.029243418,0.530128005,0.159329795,0.13091893,0.082943074,0.096680196
NM,Lea,0.13537391,0.117860912,0.012352918,0.006176459,0.099370627,0.114499042,0.014151128,0.026660412,0.09507056,0.169852625,0.088307728,0.063445526,0.056878152,0.261913139,0.164340722,0.219303389,0.159845198,0.194597553
NM,Lincoln,0.033833035,0.077568423,0.005501307,0,0.126392518,0.014028332,0.024618347,0.094209875,0.060376839,0.220327328,0.204786137,0.060651905,0.077705955,0.302296795,0.304222253,0.285655343,0.088983634,0.018841975
NM,Los Alamos,,,,,,,,,,,,,,0.760275998,0.110300641,0.07757516,0.022868408,0.028979793
NM,Luna,0.120380739,0.069148936,0.050671892,0.011338186,0.092245241,0.077827548,0.009798432,0.039333707,0.022676372,0.266097424,0.051371781,0.076707727,0.112402016,0.308090705,0.2231243,0.180991041,0.134658455,0.153135498
NM,McKinley,0.016748852,0.04582554,0.062361843,0.020744771,0.132758034,0.03426288,0.001742901,0.039874171,0.036090801,0.37026016,0.1069546,0.030947118,0.101428329,0.31674035,0.25,0.147253868,0.10874001,0.177265771
NM,Otero,0.023351773,0.125918201,0.039947402,0.04089961,0.129001542,0.058402104,0.002765938,0.058084701,0.054049152,0.257549651,0.099891176,0.031740274,0.078398476,0.313865965,0.187585019,0.261993289,0.148453795,0.088101932
NM,Rio Arriba,0.021335295,0.097970695,0.004782049,0.004904666,0.115075716,0.028753602,0.031267243,0.048862731,0.179204218,0.197780639,0.147630433,0.063821961,0.058610753,0.295567408,0.323462694,0.196064006,0.118018515,0.066887377
NM,Sandoval,0.009650896,0.070565527,0.057798988,0.025168321,0.075185799,0.05314832,0.021687919,0.081265103,0.144778637,0.24169795,0.089928112,0.034849613,0.094274815,0.433150448,0.166679332,0.207912215,0.091751904,0.100506102
NM,San Juan,0.085062336,0.056401527,0.016147582,0.017573722,0.105902378,0.075907439,0.002461241,0.037010627,0.068592722,0.277269172,0.135092239,0.054262318,0.068316695,0.266458113,0.267286194,0.19326494,0.142176933,0.13081382
NM,San Miguel,,,,,,,,,,,,,,0.277984444,0.273024462,0.322286101,0.082966971,0.043738023
NM,Santa Fe,0.010923086,0.059072387,0.027208671,0.010413719,0.106528383,0.034467146,0.009451582,0.045517573,0.21880129,0.211571113,0.094289433,0.054106061,0.117649556,0.528821665,0.1628417,0.158795065,0.066939272,0.082602298
NM,Taos,0.011457627,0.172813559,0.006305085,0.010779661,0.136813559,0.01159322,0.013084746,0.006644068,0.113830508,0.293288136,0.080474576,0.052,0.090915254,0.433694915,0.156813559,0.198033898,0.162847458,0.048610169
NM,Valencia,0.021113316,0.119043163,0.042488676,0.020140007,0.099801595,0.108037285,0.003556321,0.073035601,0.092164864,0.231834687,0.044510164,0.049039793,0.09523453,0.341930895,0.185677386,0.209074234,0.125407105,0.137910381
NY,Albany,0.007553347,0.029001759,0.062998266,0.013456816,0.109684654,0.042806597,0.02016589,0.071408777,0.135225537,0.283398748,0.076235958,0.030716086,0.117347564,0.518409672,0.153271076,0.215592635,0.036870904,0.075855713
NY,Allegany,0.024510906,0.099842591,0.1068698,0.008095345,0.103215651,0.040926467,0.021531369,0.027490443,0.05149539,0.353946481,0.056779852,0.061839442,0.043456263,0.388857657,0.166966494,0.20092197,0.120249606,0.123004273
NY,Bronx,0.002234937,0.059144833,0.030383364,0.013891957,0.09312361,0.077823311,0.015968571,0.062661085,0.099729009,0.361912547,0.08608006,0.055046834,0.041999882,0.301838024,0.315871736,0.197473453,0.066470051,0.118346736
NY,Broome,0.006624674,0.053095135,0.095341008,0.023924848,0.114878367,0.044743701,0.012717202,0.051857081,0.08032146,0.329376629,0.099456994,0.047132928,0.040529974,0.442701998,0.18215682,0.208275413,0.057764987,0.109100782
NY,Cattaraugus,0.020475096,0.068996169,0.161655172,0.013118774,0.106390805,0.047570881,0.00754023,0.04364751,0.056704981,0.242237548,0.10148659,0.046191571,0.083984674,0.305440613,0.197639847,0.201348659,0.103448276,0.192122605
NY,Cayuga,0.038914846,0.102125094,0.123526752,0.018417483,0.116744537,0.050278824,0.007264506,0.038884702,0.057422758,0.286661643,0.05648832,0.039005275,0.06426526,0.401657875,0.162833459,0.185169555,0.114966089,0.135373022
NY,Chautauqua,0.015760847,0.06706086,0.180641971,0.023898801,0.110799786,0.044501216,0.015966871,0.0247435,0.050352301,0.294305493,0.06689604,0.053051218,0.052021097,0.357142857,0.165993654,0.201285591,0.088817009,0.186760888
NY,Chemung,0.007590798,0.058011211,0.141305617,0.016086652,0.095877613,0.044026626,0.007911947,0.048289151,0.066740628,0.31023006,0.089337849,0.031531005,0.083060843,0.40353848,0.192631087,0.197243957,0.061543851,0.145042625
NY,Chenango,0.027350109,0.062049398,0.23456905,0.012698265,0.106237499,0.066421694,0.011395879,0.059770222,0.056839853,0.221359133,0.080887483,0.041118192,0.019303223,0.339318108,0.135494674,0.186427276,0.100516303,0.238243639
NY,Clinton,0.021276596,0.041468502,0.117674871,0.019858156,0.134779586,0.069642609,0.012849395,0.034070366,0.052955083,0.256932276,0.084077319,0.034070366,0.120344876,0.337950216,0.176581838,0.240522876,0.082019191,0.16292588
NY,Columbia,0.050712172,0.074416844,0.059760545,0.014243446,0.12870708,0.028555701,0.012523223,0.088213032,0.107445125,0.249088282,0.067707975,0.042833551,0.075793023,0.41543384,0.210864928,0.174568224,0.100495424,0.098637583
NY,Cortland,0.017362761,0.077484559,0.140154624,0.020213363,0.109705006,0.030017708,0.016455751,0.02461884,0.057357578,0.339005744,0.071696972,0.035502959,0.060424135,0.41541053,0.187232756,0.147842612,0.092730964,0.156783138
NY,Delaware,0.029236784,0.097625928,0.078078078,0.004249533,0.107654825,0.02351408,0.019717831,0.044138478,0.092809791,0.302396736,0.10839141,0.039095699,0.053090827,0.427786277,0.201654485,0.164711882,0.101308856,0.104538501
NY,Dutchess,0.018742327,0.055735916,0.059821307,0.021654617,0.110196426,0.063586141,0.0232574,0.051568681,0.12016096,0.295791843,0.07460783,0.050061383,0.054815168,0.5042559,0.145259855,0.190226436,0.070051835,0.090205975
NY,Erie,0.005441492,0.043126997,0.094464387,0.019901064,0.116729414,0.050564724,0.017957361,0.088011645,0.104839557,0.291702053,0.079628333,0.041618877,0.046014096,0.442190168,0.168123714,0.227999825,0.054005603,0.10768069
NY,Essex,0.022657472,0.084603349,0.074462537,0.01251666,0.110332039,0.04705337,0.00811265,0.055281915,0.067103204,0.226400881,0.131077244,0.05609318,0.104305499,0.348670105,0.185258156,0.209712001,0.137857101,0.118502637
NY,Franklin,0.03631341,0.053691612,0.042792567,0.010145655,0.133350075,0.037317931,0.001155198,0.037317931,0.044098443,0.33556002,0.073882471,0.052034154,0.142340532,0.318181818,0.277348066,0.205826218,0.083425414,0.115218483
NY,Fulton,0.005348024,0.099199807,0.109212272,0.019260927,0.184084603,0.059672685,0.013430375,0.023201576,0.056053722,0.293779404,0.036189634,0.057340464,0.043226507,0.28899433,0.139691986,0.233986087,0.13422333,0.203104266
NY,Genesee,0.037340521,0.081868823,0.164636119,0.032848158,0.132183288,0.041042228,0.004061096,0.058760108,0.056460018,0.197520216,0.08294699,0.056747529,0.053584906,0.353602875,0.149218329,0.183468104,0.140197664,0.173513028
NY,Greene,0.018081099,0.102592511,0.043740306,0.013339242,0.134987813,0.026456902,0.005362287,0.05136273,0.131220917,0.242277864,0.109594505,0.026146687,0.094837137,0.447329936,0.175182805,0.218790162,0.086151119,0.072545978
NY,Herkimer,0.030019309,0.08047652,0.068854967,0.025283253,0.142846734,0.054828956,0.019308536,0.054246056,0.05497468,0.313016868,0.054100332,0.046595504,0.055448286,0.378629458,0.171700244,0.205180517,0.129221465,0.115268316
NY,Jefferson,0.015419158,0.068687424,0.053978509,0.009370633,0.124590464,0.038696818,0.022498683,0.063715719,0.072719775,0.257749674,0.084175316,0.063486608,0.12491122,0.381606983,0.177285953,0.237862854,0.100213073,0.103031136
NY,Kings,0.000529663,0.044683363,0.028387404,0.017611708,0.088177086,0.061081891,0.052149086,0.077848661,0.158937513,0.304391325,0.076057896,0.048776899,0.041367505,0.48525856,0.207325993,0.182428479,0.048699552,0.076287417
NY,Lewis,0.05922725,0.070835452,0.154550076,0.018979834,0.077529232,0.046602271,0.034062023,0.032113201,0.071767497,0.196322657,0.099983054,0.059820369,0.078207084,0.330621928,0.223775631,0.146500593,0.135993899,0.163107948
NY,Livingston,0.030144364,0.0833645,0.101391278,0.004787194,0.117772459,0.039344753,0.011219987,0.039382153,0.118333458,0.290784651,0.076669908,0.044954746,0.04185055,0.4163737,0.189617772,0.159660408,0.107637071,0.126711048
NY,Madison,0.030011306,0.083661653,0.107300695,0.020932543,0.045119737,0.059885573,0.007811162,0.054438316,0.078214396,0.358936586,0.080064408,0.025523314,0.048100312,0.463222447,0.142519442,0.187193806,0.093973757,0.113090548
NY,Monroe,0.002224658,0.049167106,0.105849876,0.016871676,0.107203074,0.038016753,0.022419789,0.053532524,0.123682323,0.330613405,0.074950947,0.040853056,0.034614812,0.471034791,0.16716329,0.194819957,0.064268799,0.102713163
NY,Montgomery,0.027471509,0.070184379,0.0718058,0.005188548,0.198230334,0.0691652,0.001667748,0.059529325,0.045168165,0.268275734,0.064115631,0.053136292,0.066061336,0.312239414,0.169878625,0.217409432,0.109283795,0.191188733
NY,Nassau,0.001794355,0.062197581,0.042135657,0.024720622,0.081340726,0.058405818,0.023850806,0.098728399,0.137772177,0.326787154,0.055947581,0.035126728,0.051192396,0.523323733,0.146864919,0.191618664,0.064667339,0.073525346
NY,New York,0.001107948,0.017723452,0.027858574,0.01884999,0.075585855,0.034793784,0.053144329,0.155799315,0.21212125,0.255662123,0.078085555,0.037367842,0.031899982,0.63887956,0.127343391,0.173528963,0.016801401,0.043446685
NY,Niagara,0.004225832,0.082694118,0.141325029,0.01009393,0.137379584,0.051210671,0.013698904,0.069095352,0.090414772,0.255742925,0.073821874,0.03222447,0.03807254,0.349342092,0.171817108,0.234163145,0.083875749,0.160801907
NY,Oneida,0.008217497,0.05261411,0.085604796,0.010510752,0.115215948,0.055138702,0.010390055,0.087334795,0.08132003,0.291263503,0.083733982,0.049868238,0.068787592,0.40907445,0.191788538,0.228138641,0.063959687,0.107038684
NY,Onondaga,0.008796392,0.051352636,0.078831272,0.025703218,0.115473938,0.051630605,0.019556504,0.063632614,0.11949553,0.304376676,0.07766111,0.0447531,0.038736404,0.461277046,0.152336289,0.214637339,0.066667862,0.105081463
NY,Ontario,0.016944525,0.051779994,0.113897787,0.017090128,0.127766453,0.039330955,0.010847408,0.067250291,0.112423559,0.299450349,0.066322073,0.045100466,0.03179601,0.475156523,0.13956028,0.228214182,0.064356436,0.09271258
NY,Orange,0.011168076,0.06776497,0.052803448,0.044198805,0.128253274,0.063693956,0.02531866,0.059203866,0.094487803,0.285738388,0.047654813,0.049135182,0.070578759,0.392031044,0.175429144,0.235781384,0.091918928,0.1048395
NY,Orleans,0.016516762,0.060179886,0.228127555,0.016189697,0.12313982,0.052057781,0.010139002,0.020387026,0.074625238,0.225020442,0.057018261,0.07042791,0.046170619,0.298664486,0.148977923,0.183755792,0.110493322,0.258108476
NY,Oswego,0.017460985,0.089925031,0.127065483,0.029930386,0.129494339,0.068945073,0.016160496,0.053358323,0.057221542,0.248355263,0.064144737,0.059401775,0.038536567,0.333575581,0.160973837,0.20190101,0.133376683,0.170172889
NY,Otsego,0.026892548,0.079848359,0.07400387,0.01322908,0.122339375,0.021087549,0.016072345,0.092169174,0.046874383,0.327054456,0.08916795,0.046558465,0.044702444,0.379062512,0.201397939,0.198712633,0.125932946,0.09489397
NY,Putnam,0.002418768,0.085769939,0.05783638,0.018215677,0.098291879,0.047476347,0.019863864,0.086861595,0.153003125,0.282888822,0.061325399,0.040605334,0.04544287,0.481356222,0.175349972,0.179994863,0.087846226,0.075452716
NY,Queens,0.00060807,0.076602494,0.033500266,0.018634099,0.093508947,0.081249068,0.025905126,0.076239182,0.129806718,0.280104252,0.082457559,0.055853535,0.045530685,0.406040737,0.211655251,0.19152966,0.082184119,0.108590233
NY,Rensselaer,0.014560851,0.055184076,0.101680694,0.021105489,0.086926215,0.050446636,0.015115919,0.081285176,0.138534621,0.256157381,0.06274849,0.037137915,0.079116538,0.458189188,0.156464605,0.204381164,0.076702639,0.104262405
NY,Richmond,0.001025632,0.065524395,0.028550611,0.012465368,0.088431712,0.079089648,0.029061106,0.079674397,0.128821173,0.31972786,0.065728593,0.041322276,0.060577231,0.457324912,0.178682644,0.192609884,0.07219332,0.099189241
NY,Rockland,0.002375876,0.050367181,0.050032747,0.033060212,0.105583657,0.047308502,0.020463191,0.078076446,0.115818737,0.318910859,0.071123002,0.055913214,0.050966375,0.480351992,0.171850396,0.200702312,0.059320263,0.087775037
NY,St. Lawrence,0.027366605,0.065992214,0.088160563,0.012238048,0.107904613,0.033264179,0.01151542,0.023963263,0.092752745,0.316720669,0.102939462,0.041329635,0.075852584,0.350987202,0.245460267,0.166670552,0.103732022,0.133149957
NY,Saratoga,0.009351692,0.067136408,0.099721714,0.021017037,0.104607892,0.036031517,0.013898102,0.093832414,0.117850729,0.254323944,0.074676008,0.036071966,0.071480577,0.486271782,0.147006003,0.206052712,0.070032521,0.090636983
