State,County,lat,lng
AR,Union,33.1713,-92.5972
AR,Van Buren,35.5806,-92.5158
AR,Washington,35.9791,-94.2156
AR,White,35.2563,-91.7456
AR,Woodruff,35.1863,-91.2431
AR,Yell,35.0026,-93.4108
AZ,Apache,35.3955,-109.4888
AZ,Cochise,31.8796,-109.7512
AZ,Coconino,35.8387,-111.7705
AZ,Gila,33.7997,-110.8116
AZ,Graham,32.9326,-109.8875
AZ,Greenlee,33.2152,-109.2402
AZ,La Paz,33.7294,-113.9815
AZ,Maricopa,33.349,-112.4915
AZ,Mohave,35.7041,-113.7579
AZ,Navajo,35.3996,-110.3214
AZ,Pima,32.0974,-111.7899
AZ,Pinal,32.9044,-111.3448
AZ,Santa Cruz,31.526,-110.8465
AZ,Yavapai,34.5998,-112.5537
AZ,Yuma,32.7695,-113.9056
CA,Alameda,37.6469,-121.8887
CA,Alpine,38.5972,-119.8207
CA,Amador,38.4464,-120.6511
CA,Butte,39.6669,-121.6007
CA,Calaveras,38.2046,-120.5541
CA,Colusa,39.1775,-122.237
CA,Contra Costa,37.9192,-121.9275
CA,Del Norte,41.7431,-123.8972
CA,El Dorado,38.7787,-120.5247
CA,Fresno,36.7582,-119.6493
CA,Glenn,39.5981,-122.3919
CA,Humboldt,40.6993,-123.8756
CA,Imperial,33.0395,-115.3653
CA,Inyo,36.5111,-117.4107
CA,Kern,35.3426,-118.7301
CA,Kings,36.0752,-119.8155
CA,Lake,39.1,-122.7534
CA,Lassen,40.6736,-120.5943
CA,Los Angeles,34.3219,-118.2247
CA,Madera,37.218,-119.7627
CA,Marin,38.0735,-122.7236
CA,Mariposa,37.5815,-119.9054
CA,Mendocino,39.4402,-123.3915
CA,Merced,37.1919,-120.7177
CA,Modoc,41.5898,-120.725
CA,Mono,37.9391,-118.8868
CA,Monterey,36.2171,-121.2388
CA,Napa,38.507,-122.3306
CA,Nevada,39.3013,-120.7689
CA,Orange,33.7031,-117.7609
CA,Placer,39.0634,-120.7177
CA,Plumas,40.0046,-120.8385
CA,Riverside,33.7436,-115.9938
CA,Sacramento,38.4493,-121.3443
CA,San Benito,36.6057,-121.075
CA,San Bernardino,34.8414,-116.1785
CA,San Diego,33.0343,-116.735
CA,San Francisco,37.7556,-122.445
CA,San Joaquin,37.9348,-121.2714
CA,San Luis Obispo,35.3871,-120.4043
CA,San Mateo,37.4228,-122.3291
CA,Santa Barbara,34.6729,-120.0169
CA,Santa Clara,37.2318,-121.6951
CA,Santa Cruz,37.0562,-122.0018
CA,Shasta,40.7637,-122.0405
CA,Sierra,39.5803,-120.5161
CA,Siskiyou,41.5927,-122.5404
CA,Solano,38.27,-121.9328
CA,Sonoma,38.529,-122.8882
CA,Stanislaus,37.5591,-120.9977
CA,Sutter,39.0346,-121.6948
CA,Tehama,40.1256,-122.2341
CA,Trinity,40.6507,-123.1126
CA,Tulare,36.2202,-118.8005
CA,Tuolumne,38.0276,-119.9548
CA,Ventura,34.4561,-119.0836
CA,Yolo,38.6866,-121.9011
CA,Yuba,39.269,-121.3513
CO,Adams,39.8736,-104.3379
CO,Alamosa,37.5729,-105.7883
CO,Arapahoe,39.6498,-104.3393
CO,Archuleta,37.1935,-107.0483
CO,Baca,37.3192,-102.5604
CO,Bent,37.9551,-103.0717
CO,Boulder,40.0925,-105.3577
CO,Broomfield,39.9541,-105.0527
CO,Chaffee,38.747,-106.1941
CO,Cheyenne,38.8279,-102.6036
CO,Clear Creek,39.6891,-105.6444
CO,Conejos,37.2007,-106.1916
CO,Costilla,37.2781,-105.4282
CO,Crowley,38.3266,-103.7845
CO,Custer,38.1087,-105.3675
CO,Delta,38.8614,-107.8629
CO,Denver,39.762,-104.8758
CO,Dolores,37.7517,-108.5174
CO,Douglas,39.3298,-104.9293
CO,Eagle,39.6278,-106.6953
CO,El Paso,38.8321,-104.5254
CO,Elbert,39.2865,-104.1357
CO,Fremont,38.4731,-105.4395
CO,Garfield,39.5993,-107.904
CO,Gilpin,39.8575,-105.5226
CO,Grand,40.1026,-106.1183
CO,Gunnison,38.6667,-107.0316
CO,Hinsdale,37.8213,-107.3003
CO,Huerfano,37.6847,-104.9606
CO,Jackson,40.6664,-106.3428
CO,Jefferson,39.5864,-105.2505
CO,Kiowa,38.4326,-102.7402
CO,Kit Carson,39.3055,-102.603
CO,La Plata,37.2866,-107.8433
CO,Lake,39.2025,-106.3448
CO,Larimer,40.6664,-105.4611
CO,Las Animas,37.3158,-104.0386
CO,Lincoln,38.9881,-103.514
CO,Logan,40.7247,-103.1101
CO,Mesa,39.0183,-108.4664
CO,Mineral,37.6689,-106.9241
CO,Moffat,40.6184,-108.2074
CO,Montezuma,37.3386,-108.5966
CO,Montrose,38.4022,-108.2692
CO,Morgan,40.2627,-103.8097
CO,Otero,37.9026,-103.7165
CO,Ouray,38.1555,-107.7693
CO,Park,39.1194,-105.7172
CO,Phillips,40.594,-102.3576
CO,Pitkin,39.2171,-106.9166
CO,Prowers,37.9552,-102.3934
CO,Pueblo,38.1735,-104.5127
CO,Rio Blanco,39.9798,-108.2171
CO,Rio Grande,37.5825,-106.3832
CO,Routt,40.4851,-106.9913
CO,Saguache,38.0805,-106.2815
CO,San Juan,37.764,-107.6762
CO,San Miguel,38.0038,-108.4059
CO,Sedgwick,40.8759,-102.3518
CO,Summit,39.6342,-106.1164
CO,Teller,38.8824,-105.1617
CO,Washington,39.971,-103.2013
CO,Weld,40.5548,-104.3925
