"Label (Grouping)","Total:","Total:!!Complete plumbing facilities:","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier","Total:!!Lacking complete plumbing facilities:","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier"
"Fulton County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","13,902","13,898","13,813","8,824","992","3,997","85","60","0","25","4","4","0","0","4","0","0","0","0"
"Gallatin County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,096","2,087","2,056","1,592","177","287","31","19","1","11","9","9","7","2","0","0","0","0","0"
"Greene County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","4,514","4,502","4,481","2,646","276","1,559","21","13","0","8","12","12","8","0","4","0","0","0","0"
"Grundy County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,518","20,458","20,081","17,085","619","2,377","377","359","8","10","60","60","50","7","3","0","0","0","0"
"Hamilton County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,350","3,345","3,334","2,398","440","496","11","5","0","6","5","5","0","0","5","0","0","0","0"
"Hancock County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,515","7,509","7,465","4,821","351","2,293","44","20","4","20","6","6","0","0","6","0","0","0","0"
"Hardin County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,484","1,480","1,463","1,064","114","285","17","17","0","0","4","4","4","0","0","0","0","0","0"
"Henderson County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,662","2,642","2,605","1,864","69","672","37","37","0","0","20","20","7","0","13","0","0","0","0"
"Henry County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,261","20,178","19,985","12,601","1,522","5,862","193","127","14","52","83","83","16","2","65","0","0","0","0"
"Iroquois County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","11,333","11,307","11,214","7,121","741","3,352","93","43","46","4","26","26","10","0","16","0","0","0","0"
"Jackson County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","23,088","23,017","22,461","18,929","1,218","2,314","556","509","1","46","71","71","53","0","18","0","0","0","0"
"Jasper County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","3,766","3,757","3,744","2,862","363","519","13","13","0","0","9","0","0","0","0","9","0","0","9"
"Jefferson County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","14,805","14,721","14,503","12,109","964","1,430","218","214","0","4","84","71","65","4","2","13","0","0","13"
"Jersey County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","7,984","7,979","7,927","6,181","357","1,389","52","52","0","0","5","5","5","0","0","0","0","0","0"
"Jo Daviess County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","10,385","10,385","10,312","6,946","627","2,739","73","49","2","22","0","0","0","0","0","0","0","0","0"
"Johnson County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","4,133","4,121","4,078","3,628","195","255","43","33","10","0","12","12","11","0","1","0","0","0","0"
"Kane County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","183,196","182,774","176,598","149,970","4,905","21,723","6,176","4,574","501","1,101","422","356","279","0","77","66","41","0","25"
"Kankakee County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","40,895","40,787","39,974","31,756","2,454","5,764","813","582","81","150","108","108","64","0","44","0","0","0","0"
"Kendall County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","44,526","44,511","43,718","41,336","617","1,765","793","781","0","12","15","15","13","0","2","0","0","0","0"
"Knox County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,765","20,644","20,480","12,075","1,155","7,250","164","73","0","91","121","117","105","0","12","4","0","0","4"
"Lake County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","256,660","256,211","249,383","220,407","8,114","20,862","6,828","5,709","481","638","449","428","316","39","73","21","0","0","21"
"LaSalle County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","45,092","45,008","44,172","30,215","3,137","10,820","836","555","67","214","84","84","19","20","45","0","0","0","0"
"Lawrence County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,414","5,405","5,362","3,736","240","1,386","43","41","0","2","9","9","3","0","6","0","0","0","0"
"Lee County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","13,382","13,340","13,302","8,495","864","3,943","38","36","0","2","42","42","18","0","24","0","0","0","0"
"Livingston County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","14,614","14,540","14,344","8,718","1,141","4,485","196","186","0","10","74","74","12","17","45","0","0","0","0"
"Logan County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","11,122","11,082","10,891","7,562","572","2,757","191","150","6","35","40","40","38","2","0","0","0","0","0"
"McDonough County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","11,760","11,671","11,600","7,975","636","2,989","71","56","1","14","89","89","21","0","68","0","0","0","0"
"McHenry County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","116,329","116,131","114,234","102,520","2,918","8,796","1,897","1,681","42","174","198","196","115","0","81","2","2","0","0"
"McLean County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","69,072","68,908","68,235","56,601","2,349","9,285","673","645","4","24","164","161","159","0","2","3","3","0","0"
"Macon County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","43,334","43,240","42,646","32,293","3,248","7,105","594","296","118","180","94","94","49","2","43","0","0","0","0"
"Macoupin County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","17,431","17,389","17,265","11,678","1,419","4,168","124","54","19","51","42","42","32","9","1","0","0","0","0"
"Madison County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","109,385","109,129","108,199","85,292","8,148","14,759","930","635","38","257","256","193","91","12","90","63","0","0","63"
"Marion County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","15,465","15,374","15,171","11,845","1,281","2,045","203","152","25","26","91","87","55","22","10","4","4","0","0"
"Marshall County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","4,964","4,944","4,875","3,128","357","1,390","69","56","9","4","20","20","20","0","0","0","0","0","0"
"Mason County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,714","5,694","5,600","3,587","407","1,606","94","74","0","20","20","20","12","0","8","0","0","0","0"
"Massac County, Illinois","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,482","5,473","5,415","4,460","171","784","58","58","0","0","9","9","8","0","1","0","0","0","0"
"Menard County, Illinois","","","","","","","","","","","","","","","","","","",""
