"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"0500000US48113","Dallas County, Texas","1028817","741","1983","428","95116","2480","124887","2980","124659","2905","183585","3424","180315","3687","130243","2488","115281","2387","36579","1349","36169","1373",
"0500000US48115","Dawson County, Texas","4919","177","0","23","127","79","118","55","330","117","577","146","859","172","1089","223","994","163","418","116","407","153",
"0500000US48117","Deaf Smith County, Texas","6994","46","0","23","224","104","527","161","365","107","604","169","1455","267","1664","302","1287","278","440","147","428","147",
"0500000US48119","Delta County, Texas","2423","34","22","29","225","76","195","71","316","106","419","129","387","118","184","69","203","82","143","80","329","124",
"0500000US48121","Denton County, Texas","339202","381","2118","497","77750","2095","88362","2180","65103","1804","57302","1893","28780","1317","9633","761","4666","605","2365","448","3123","625",
"0500000US48123","DeWitt County, Texas","9194","102","38","45","703","184","1060","223","1078","188","884","165","1326","213","921","216","849","133","820","178","1515","244",
"0500000US48125","Dickens County, Texas","1096","81","2","4","24","20","59","28","63","25","27","15","153","45","137","50","338","77","123","39","170","49",
"0500000US48127","Dimmit County, Texas","4033","28","0","20","554","252","494","196","394","137","539","181","942","301","261","134","448","167","284","151","117","87",
"0500000US48129","Donley County, Texas","1961","57","0","14","80","37","151","46","149","47","196","53","401","84","160","64","209","80","189","71","426","84",
"0500000US48131","Duval County, Texas","4527","49","18","26","126","70","531","153","484","122","810","152","760","172","493","146","554","146","472","161","279","95",
"0500000US48133","Eastland County, Texas","9452","76","67","94","440","115","862","189","674","188","928","238","1652","277","679","171","1182","277","1303","282","1665","272",
"0500000US48135","Ector County, Texas","64563","119","76","51","9360","1033","5469","709","7789","1086","8961","950","11415","1109","6209","608","12220","986","2328","379","736","280",
"0500000US48137","Edwards County, Texas","1107","123","0","14","72","38","94","76","117","58","171","66","97","35","176","83","150","69","55","29","175","61",
"0500000US48139","Ellis County, Texas","66793","114","423","186","12143","842","16870","951","10389","707","9656","692","6921","612","3690","479","2612","461","1283","284","2806","373",
"0500000US48141","El Paso County, Texas","314174","478","585","285","44167","1901","49785","1685","44234","1651","45489","1529","47860","1714","29000","1350","29334","1202","10249","964","13471","1118",
"0500000US48143","Erath County, Texas","18134","167","37","53","2646","413","2678","367","2547","421","2662","482","2991","459","1533","313","1027","274","723","247","1290","257",
"0500000US48145","Falls County, Texas","7471","161","4","6","430","142","727","177","567","128","820","174","1563","245","997","239","1133","205","590","139","640","170",
"0500000US48147","Fannin County, Texas","14596","188","38","32","1091","204","2635","274","2335","333","2106","319","1920","303","1611","289","769","137","618","139","1473","170",
"0500000US48149","Fayette County, Texas","13227","60","9","16","1148","204","2552","306","1478","250","1423","245","1766","301","1306","248","1069","211","866","198","1610","223",
"0500000US48151","Fisher County, Texas","2046","122","0","14","49","26","166","66","85","36","76","29","400","82","327","75","539","87","223","61","181","59",
"0500000US48153","Floyd County, Texas","2646","21","0","20","27","25","52","40","190","93","130","58","325","90","531","111","689","124","289","89","413","109",
"0500000US48155","Foard County, Texas","719","79","0","14","3","6","48","28","70","37","32","23","82","47","146","40","76","38","22","19","240","55",
"0500000US48157","Fort Bend County, Texas","271768","228","1775","496","75933","2316","72200","2428","45687","1548","36822","1563","26161","1367","5839","779","3693","518","1455","392","2203","624",
"0500000US48159","Franklin County, Texas","5173","30","3","6","445","191","897","225","1122","203","983","216","668","169","389","136","261","89","102","60","303","99",
"0500000US48161","Freestone County, Texas","9075","170","0","23","649","175","1368","262","1623","261","1700","254","1442","226","754","165","618","151","240","85","681","162",
"0500000US48163","Frio County, Texas","6283","247","0","23","818","303","712","274","1379","436","1035","361","810","252","670","234","424","192","202","138","233","184",
"0500000US48165","Gaines County, Texas","7476","43","0","27","1270","287","683","204","975","268","1289","267","949","240","1227","277","626","194","356","169","101","63",
"0500000US48167","Galveston County, Texas","154283","205","452","168","20005","1222","29910","1403","19731","1049","22946","1038","23870","1090","15280","988","10136","801","3955","519","7998","643",
"0500000US48169","Garza County, Texas","2223","166","0","20","62","56","347","118","370","122","237","104","244","90","315","108","383","146","119","66","146","66",
"0500000US48171","Gillespie County, Texas","13975","43","33","30","1745","365","2599","348","2405","474","1899","338","1861","431","729","268","725","212","339","136","1640","357",
"0500000US48173","Glasscock County, Texas","526","73","0","14","39","28","59","53","70","37","46","26","87","33","108","48","81","73","4","6","32","36",
"0500000US48175","Goliad County, Texas","3527","32","0","20","386","136","540","125","642","176","414","128","551","152","466","158","185","64","46","35","297","88",
"0500000US48177","Gonzales County, Texas","8909","58","19","24","851","175","1079","207","1120","243","1376","204","1101","224","812","160","917","198","852","204","782","175",
"0500000US48179","Gray County, Texas","10005","120","0","27","467","127","408","134","278","88","1005","210","937","236","1767","308","2731","311","1340","242","1072","191",
"0500000US48181","Grayson County, Texas","57980","175","98","70","6720","685","7334","521","7108","518","8743","763","7578","731","8144","682","4369","503","2785","456","5101","587",
"0500000US48183","Gregg County, Texas","53024","301","11","19","3815","415","5314","596","6625","602","9165","817","11550","783","7183","713","5609","540","1914","268","1838","330",
"0500000US48185","Grimes County, Texas","11876","827","140","105","1471","320","2397","411","2246","452","2213","331","1135","257","593","154","863","284","288","127","530","148",
"0500000US48187","Guadalupe County, Texas","63125","138","360","109","14033","784","15991","943","10633","680","7720","686","6042","560","2418","362","2906","447","1190","285","1832","342",
