State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
AK,Aleutians East,2021,69,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Aleutians West (CA),2021,219,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Anchorage,2021,23582,2257,SD,SD,SD,SD,SD,0,SD,0,0,0
AK,Bethel (CA),2021,2370,472,SD,SD,0,0.00%,SD,0,0,0,0,0
AK,Bristol Bay,2021,63,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Denali,2021,99,14,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Dillingham (CA),2021,535,41,SD,SD,0,0.00%,SD,0,0,0,0,0
AK,Fairbanks North Star,2021,8138,561,SD,SD,0,0.00%,SD,0,0,0,0,0
AK,Haines,2021,139,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Juneau,2021,2074,53,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Kenai Peninsula,2021,4217,65,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Ketchikan Gateway,2021,878,33,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Kodiak Island,2021,1055,13,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Lake and Peninsula,2021,160,0,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Matanuska-Susitna,2021,8866,315,SD,SD,0,0.00%,SD,0,0,0,0,0
AK,Nome (CA),2021,1130,24,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,North Slope,2021,893,24,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Northwest Arctic,2021,935,49,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Sitka,2021,498,8,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Southeast Fairbanks (CA),2021,631,34,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Yakutat,2021,43,0,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Yukon-Koyukuk (CA),2021,478,15,0,0.00%,0,0.00%,0,0,0,0,0,0
AK,Unknown,2021,0,473,SD,SD,0,0.00%,SD,0,0,0,0,0
CT ,Fairfield,2021,61352,17844,259,1.50%,66,0.40%,193,46,8,8,SD,SD
CT ,Hartford,2021,57353,13198,183,1.40%,58,0.40%,125,33,12,10,SD,0
CT ,Litchfield,2021,8971,1922,37,1.90%,7,0.40%,30,SD,0,SD,0,0
CT ,Middlesex,2021,7918,1776,13,0.70%,SD,SD,8,SD,0,0,SD,0
CT ,New Haven,2021,52455,14696,353,2.40%,108,0.70%,245,60,15,15,17,SD
CT ,New London,2021,15503,3315,84,2.50%,20,0.60%,64,10,SD,SD,SD,SD
CT ,Tolland,2021,7427,1652,14,0.80%,SD,SD,10,SD,0,0,SD,0
CT ,Windham,2021,6750,1714,58,3.40%,19,1.10%,39,13,SD,SD,SD,0
CT ,Unknown,2021,0,388,37,9.50%,9,2.30%,28,7,SD,0,0,0
DE,Kent,2021,13534,1334,13,1.00%,0,0.00%,13,0,0,0,0,0
DE,New Castle,2021,37953,4259,86,2.00%,22,0.50%,64,13,6,SD,SD,0
DE,Sussex,2021,14183,1409,17,1.20%,6,0.40%,11,SD,SD,SD,0,0
DE,Unknown,2021,0,2067,18,0.90%,SD,SD,16,SD,0,SD,0,0
WA,District of Columbia,2021,52857,11359,80,0.70%,14,0.10%,66,9,SD,SD,SD,0
WA,Unknown,2021,0,1793,9,0.50%,SD,SD,6,SD,SD,0,0,0
FL,Alachua,2021,16431,2078,SD,SD,0,0.00%,SD,0,0,0,0,0
FL,Baker,2021,2184,130,0,0.00%,0,0.00%,0,0,0,0,0,0
