State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
GA,Pierce,2021,1527,302,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Pike,2021,1256,132,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Polk,2021,3471,182,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Pulaski,2021,575,72,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Putnam,2021,1375,194,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Quitman,2021,144,18,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Rabun,2021,875,45,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Randolph,2021,394,67,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Richmond,2021,16025,1412,22,1.60%,8,0.60%,14,SD,SD,SD,SD,0
GA,Rockdale,2021,6319,835,SD,SD,SD,SD,SD,0,SD,0,0,0
GA,Schley,2021,321,33,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Screven,2021,979,233,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Seminole,2021,508,54,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Spalding,2021,5174,732,8,1.10%,SD,SD,SD,SD,SD,0,0,0
GA,Stephens,2021,1952,139,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Stewart,2021,221,32,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Sumter,2021,2118,300,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Talbot,2021,336,55,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Taliaferro,2021,92,10,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Tattnall,2021,1500,276,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Taylor,2021,519,59,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Telfair,2021,803,57,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Terrell,2021,604,90,6,6.70%,SD,SD,SD,SD,SD,0,0,0
GA,Thomas,2021,3303,711,SD,SD,SD,SD,0,SD,SD,0,SD,0
GA,Tift,2021,3358,241,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Toombs,2021,2256,246,SD,SD,SD,SD,0,SD,0,SD,0,0
GA,Towns,2021,525,85,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Treutlen,2021,475,49,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Troup,2021,5536,372,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Turner,2021,682,83,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Twiggs,2021,455,29,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Union,2021,1146,203,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Upson,2021,1970,230,SD,SD,SD,SD,SD,0,0,0,SD,0
GA,Walker,2021,4713,618,6,1.00%,SD,SD,SD,0,SD,0,SD,0
GA,Walton,2021,6925,680,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Ware,2021,2941,653,SD,SD,SD,SD,SD,0,0,SD,0,0
GA,Warren,2021,349,16,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Washington,2021,1331,64,SD,SD,SD,SD,SD,0,SD,0,0,0
GA,Wayne,2021,2227,546,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Webster,2021,157,42,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Wheeler,2021,399,37,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,White,2021,1802,119,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Whitfield,2021,7952,1144,8,0.70%,SD,SD,SD,SD,0,0,0,0
GA,Wilcox,2021,500,57,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Wilkes,2021,602,79,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Wilkinson,2021,592,117,SD,SD,SD,SD,0,0,SD,0,0,0
GA,Worth,2021,1337,106,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Unknown,2021,0,10397,65,0.60%,13,0.10%,52,7,SD,SD,SD,0
HI ,Hawaii,2021,13727,1661,19,1.10%,SD,SD,17,SD,0,0,0,0
HI ,Honolulu,2021,70917,11042,25,0.20%,10,0.10%,15,SD,SD,SD,SD,0
HI ,Kalawao,2021,0,0,0,0.00%,0,0.00%,0,0,0,0,0,0
HI ,Kauai,2021,4968,541,SD,SD,SD,SD,SD,SD,0,0,0,0
HI ,Maui,2021,11659,1814,10,0.60%,SD,SD,6,SD,SD,0,SD,0
HI ,Unknown,2021,0,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Adams,2021,4796,662,35,5.30%,10,1.50%,25,6,SD,SD,SD,0
IL,Alexander,2021,333,63,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Bond,2021,925,151,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Boone,2021,3479,498,13,2.60%,SD,SD,12,SD,0,0,0,0
IL,Brown,2021,368,54,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Bureau,2021,2019,373,18,4.80%,SD,SD,14,0,SD,SD,SD,0
IL,Calhoun,2021,254,31,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Carroll,2021,874,142,6,4.20%,SD,SD,SD,SD,0,SD,0,0
IL,Cass,2021,999,173,10,5.80%,SD,SD,SD,SD,SD,0,SD,0
IL,Champaign,2021,13365,1203,12,1.00%,SD,SD,9,SD,SD,0,0,0
IL,Christian,2021,1985,304,7,2.30%,SD,SD,SD,0,SD,0,SD,0
IL,Clark,2021,1068,185,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Clay,2021,963,162,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Clinton,2021,2597,246,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Coles,2021,2936,592,13,2.20%,SD,SD,10,SD,0,0,SD,0
IL,Cook,2021,362191,88484,1305,1.50%,331,0.40%,974,174,74,30,46,7
IL,Crawford,2021,1184,208,SD,SD,SD,SD,0,SD,0,0,0,0
IL,Cumberland,2021,746,99,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,DeKalb,2021,7041,527,8,1.50%,SD,SD,SD,SD,SD,0,SD,0
IL,De Witt,2021,1032,SD,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Douglas,2021,1530,161,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,DuPage,2021,64399,4779,29,0.60%,7,0.10%,22,6,SD,0,0,0
IL,Edgar,2021,1043,221,9,4.10%,SD,SD,6,SD,SD,0,0,SD
IL,Edwards,2021,469,94,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Effingham,2021,2717,302,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Fayette,2021,1450,220,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Ford,2021,929,124,7,5.60%,SD,SD,SD,SD,0,0,SD,0
IL,Franklin,2021,2697,394,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Fulton,2021,1967,266,8,3.00%,SD,SD,SD,SD,SD,0,0,0
IL,Gallatin,2021,278,24,SD,SD,SD,SD,0,SD,0,0,0,0
IL,Greene,2021,828,163,11,6.70%,SD,SD,7,SD,0,0,0,0
IL,Grundy,2021,3702,433,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Hamilton,2021,538,90,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Hancock,2021,1134,135,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Hardin,2021,189,21,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Henderson,2021,381,41,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Henry,2021,3102,604,18,3.00%,7,1.20%,11,7,0,0,0,0
IL,Iroquois,2021,1815,175,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Jackson,2021,3685,479,7,1.50%,SD,SD,6,SD,0,0,0,0
IL,Jasper,2021,693,64,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Jefferson,2021,2773,301,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Jersey,2021,1298,178,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Jo Daviess,2021,1127,128,7,5.50%,SD,SD,6,0,0,SD,0,0
IL,Johnson,2021,698,56,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Kane,2021,39031,5611,118,2.10%,31,0.60%,87,19,SD,SD,SD,0
IL,Kankakee,2021,7635,772,12,1.60%,8,1.00%,SD,SD,SD,0,SD,SD
IL,Kendall,2021,10107,665,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Knox,2021,3379,596,27,4.50%,8,1.30%,19,SD,SD,SD,0,SD
IL,Lake,2021,47228,4816,31,0.60%,8,0.20%,23,SD,SD,SD,0,0
IL,La Salle,2021,6984,573,25,4.40%,13,2.30%,12,10,SD,0,SD,0
IL,Lawrence,2021,887,129,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Lee,2021,2027,275,8,2.90%,SD,SD,SD,SD,SD,SD,0,0
IL,Livingston,2021,2475,393,7,1.80%,SD,SD,SD,SD,SD,0,0,0
IL,Logan,2021,1755,180,7,3.90%,SD,SD,SD,SD,0,0,0,0
IL,McDonough,2021,1584,96,6,6.30%,SD,SD,SD,SD,0,0,0,0
IL,McHenry,2021,20097,1735,6,0.30%,0,0.00%,6,0,0,0,0,0
IL,McLean,2021,11617,995,16,1.60%,7,0.70%,9,6,0,SD,0,0
IL,Macon,2021,7669,1601,54,3.40%,17,1.10%,37,11,SD,SD,SD,0
IL,Macoupin,2021,2814,474,9,1.90%,SD,SD,8,SD,0,0,0,0
IL,Madison,2021,17702,2425,39,1.60%,14,0.60%,25,6,SD,SD,SD,SD
IL,Marion,2021,2837,390,SD,SD,SD,SD,SD,0,0,SD,0,0
IL,Marshall,2021,748,99,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Mason,2021,792,121,SD,SD,SD,SD,SD,SD,SD,0,0,0
IL,Massac,2021,897,104,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Menard,2021,775,64,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Mercer,2021,901,165,SD,SD,SD,SD,SD,SD,0,SD,0,0
IL,Monroe,2021,2435,216,SD,SD,SD,SD,SD,0,0,SD,SD,0
IL,Montgomery,2021,1761,221,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Morgan,2021,1991,342,7,2.00%,0,0.00%,7,0,0,0,0,0
IL,Moultrie,2021,1056,139,6,4.30%,SD,SD,SD,SD,0,0,0,0
IL,Ogle,2021,3328,432,11,2.50%,SD,SD,9,SD,0,0,0,0
IL,Peoria,2021,14502,2623,53,2.00%,19,0.70%,34,12,SD,SD,SD,0
IL,Perry,2021,1177,195,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Piatt,2021,1141,120,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Pike,2021,1163,214,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Pope,2021,126,14,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Pulaski,2021,340,49,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Putnam,2021,329,40,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Randolph,2021,1889,313,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Richland,2021,1140,116,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Rock Island,2021,10330,2216,58,2.60%,20,0.90%,38,8,SD,SD,SD,0
IL,St. Clair,2021,19253,2304,17,0.70%,SD,SD,12,SD,0,0,0,SD
IL,Saline,2021,1684,115,SD,SD,SD,SD,0,SD,0,0,0,0
IL,Sangamon,2021,13421,1592,26,1.60%,12,0.80%,14,SD,SD,SD,SD,0
IL,Schuyler,2021,350,43,SD,SD,SD,SD,SD,SD,0,0,0,0
IL,Scott,2021,292,50,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Shelby,2021,1421,181,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Stark,2021,349,94,SD,SD,SD,SD,SD,SD,0,SD,0,0
IL,Stephenson,2021,2949,727,67,9.20%,32,4.40%,35,17,10,SD,SD,0
IL,Tazewell,2021,8657,944,7,0.70%,SD,SD,SD,SD,SD,0,0,0
IL,Union,2021,1100,159,9,5.70%,SD,SD,6,SD,SD,0,0,0
IL,Vermilion,2021,5573,1076,33,3.10%,7,0.70%,26,6,0,0,SD,0
IL,Wabash,2021,789,158,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Warren,2021,1198,222,15,6.80%,SD,SD,11,SD,0,SD,SD,0
IL,Washington,2021,923,97,0,0.00%,0,0.00%,0,0,0,0,0,0
IL,Wayne,2021,1171,176,7,4.00%,SD,SD,SD,SD,0,0,0,0
IL,White,2021,874,91,SD,SD,0,0.00%,SD,0,0,0,0,0
IL,Whiteside,2021,3704,499,9,1.80%,SD,SD,6,SD,SD,SD,0,0
IL,Will,2021,47732,4790,29,0.60%,7,0.10%,22,SD,SD,SD,SD,0
IL,Williamson,2021,4581,383,SD,SD,SD,SD,0,SD,SD,0,0,0
IL,Winnebago,2021,21347,3874,143,3.70%,34,0.90%,109,20,8,SD,SD,SD
IL,Woodford,2021,2618,364,SD,SD,SD,SD,SD,0,SD,0,0,0
IL,Unknown,2021,0,19046,319,1.70%,86,0.50%,233,48,17,9,SD,8
IA,Adair,2021,523,95,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Adams,2021,232,65,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Allamakee,2021,1132,357,12,3.40%,6,1.70%,6,SD,SD,SD,SD,0
IA,Appanoose,2021,833,144,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Audubon,2021,395,87,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Benton,2021,1891,342,7,2.00%,SD,SD,SD,SD,0,SD,SD,0
IA,Black Hawk,2021,9732,2662,32,1.20%,17,0.60%,15,9,SD,SD,SD,SD
IA,Boone,2021,1665,398,SD,SD,SD,SD,SD,SD,0,SD,0,0
IA,Bremer,2021,1758,501,SD,SD,SD,SD,SD,0,0,0,SD,0
IA,Buchanan,2021,1690,381,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Buena Vista,2021,1767,611,7,1.10%,SD,SD,SD,SD,0,0,SD,0
IA,Butler,2021,888,290,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Calhoun,2021,633,171,SD,SD,SD,SD,0,0,0,0,SD,0
IA,Carroll,2021,1503,420,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Cass,2021,835,191,8,4.20%,SD,SD,SD,SD,0,0,0,0
IA,Cedar,2021,1139,230,SD,SD,SD,SD,0,SD,0,0,0,0
IA,Cerro Gordo,2021,2783,687,8,1.20%,SD,SD,6,SD,0,0,0,0
IA,Cherokee,2021,745,207,7,3.40%,SD,SD,SD,SD,0,0,SD,0
IA,Chickasaw,2021,853,198,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Clarke,2021,731,222,SD,SD,SD,SD,0,SD,0,0,0,0
IA,Clay,2021,1170,274,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Clayton,2021,1112,268,7,2.60%,SD,SD,6,0,0,0,SD,0
IA,Clinton,2021,3371,1037,18,1.70%,10,1.00%,8,SD,SD,SD,0,0
IA,Crawford,2021,1375,279,SD,SD,SD,SD,SD,SD,0,SD,0,0
IA,Dallas,2021,8444,1814,6,0.30%,SD,SD,SD,0,SD,0,0,0
IA,Davis,2021,966,104,SD,SD,SD,SD,0,0,SD,0,0,0
IA,Decatur,2021,570,95,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Delaware,2021,1224,267,6,2.20%,SD,SD,SD,SD,0,SD,0,0
IA,Des Moines,2021,2685,418,18,4.30%,10,2.40%,8,SD,SD,SD,0,0
IA,Dickinson,2021,1052,200,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Dubuque,2021,7289,1314,36,2.70%,16,1.20%,20,SD,SD,SD,0,SD
IA,Emmet,2021,558,164,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Fayette,2021,1268,353,12,3.40%,SD,SD,10,SD,0,0,0,0
IA,Floyd,2021,1130,217,7,3.20%,SD,SD,SD,SD,0,0,0,0
IA,Franklin,2021,714,176,SD,SD,SD,SD,0,SD,SD,SD,0,0
IA,Fremont,2021,465,64,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Greene,2021,624,106,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Grundy,2021,813,259,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Guthrie,2021,671,90,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Hamilton,2021,1109,332,6,1.80%,SD,SD,SD,SD,0,0,SD,0
IA,Hancock,2021,702,144,SD,SD,SD,SD,0,SD,0,0,0,0
IA,Hardin,2021,967,245,8,3.30%,SD,SD,SD,SD,SD,0,SD,0
IA,Harrison,2021,989,190,SD,SD,SD,SD,0,SD,SD,SD,0,0
IA,Henry,2021,1305,295,6,2.00%,SD,SD,SD,SD,0,0,0,0
IA,Howard,2021,753,204,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Humboldt,2021,712,124,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Ida,2021,486,121,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Iowa,2021,1132,176,6,3.40%,SD,SD,SD,0,SD,0,SD,0
IA,Jackson,2021,1316,346,6,1.70%,SD,SD,SD,SD,0,0,0,0
IA,Jasper,2021,2533,534,8,1.50%,SD,SD,6,SD,0,SD,0,0
IA,Jefferson,2021,952,197,8,4.10%,SD,SD,SD,SD,SD,0,0,0
IA,Johnson,2021,10434,2215,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Jones,2021,1245,337,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Keokuk,2021,691,192,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Kossuth,2021,1037,173,SD,SD,SD,SD,SD,SD,SD,SD,0,0
IA,Lee,2021,2300,505,29,5.70%,17,3.40%,12,7,9,SD,0,0
IA,Linn,2021,16716,3940,58,1.50%,19,0.50%,39,12,SD,SD,0,SD
IA,Louisa,2021,808,152,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Lucas,2021,652,129,SD,SD,SD,SD,0,0,0,0,SD,0
IA,Lyon,2021,1065,200,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Madison,2021,1127,188,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Mahaska,2021,1777,410,SD,SD,SD,SD,SD,SD,0,0,SD,0
IA,Marion,2021,2274,388,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Marshall,2021,3053,1103,22,2.00%,7,0.60%,15,SD,SD,SD,0,0
IA,Mills,2021,932,168,SD,SD,SD,SD,0,SD,SD,0,0,0
IA,Mitchell,2021,776,164,6,3.70%,SD,SD,SD,SD,SD,0,0,0
IA,Monona,2021,610,145,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Monroe,2021,553,159,SD,SD,SD,SD,0,0,SD,0,0,0
IA,Montgomery,2021,741,211,SD,SD,SD,SD,SD,0,0,SD,0,0
IA,Muscatine,2021,3219,704,16,2.30%,8,1.10%,8,6,0,SD,0,0
IA,O'Brien,2021,1026,187,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Osceola,2021,417,58,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Page,2021,850,121,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Palo Alto,2021,647,105,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Plymouth,2021,1923,515,SD,SD,SD,SD,SD,SD,SD,0,SD,0
IA,Pocahontas,2021,475,137,SD,SD,SD,SD,SD,0,SD,0,0,0
IA,Polk,2021,40722,9136,41,0.40%,12,0.10%,29,6,SD,0,SD,0
IA,Pottawattamie,2021,6834,1308,13,1.00%,SD,SD,9,SD,SD,0,SD,0
IA,Poweshiek,2021,1076,180,SD,SD,SD,SD,0,SD,0,0,0,0
IA,Ringgold,2021,333,75,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Sac,2021,697,210,SD,SD,SD,SD,0,SD,SD,0,0,0
IA,Scott,2021,12817,2882,51,1.80%,9,0.30%,42,6,SD,SD,0,0
IA,Shelby,2021,749,218,SD,SD,SD,SD,SD,SD,0,0,0,0
IA,Sioux,2021,2961,888,9,1.00%,SD,SD,7,SD,0,0,SD,0
IA,Story,2021,5074,1123,10,0.90%,0,0.00%,10,0,0,0,0,0
IA,Tama,2021,1341,366,15,4.10%,8,2.20%,7,7,0,0,SD,0
IA,Taylor,2021,433,89,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Union,2021,794,224,7,3.10%,SD,SD,SD,SD,SD,0,0,0
IA,Van Buren,2021,535,95,SD,SD,SD,SD,SD,SD,SD,0,0,0
IA,Wapello,2021,2707,1165,17,1.50%,7,0.60%,10,SD,0,SD,0,0
IA,Warren,2021,3884,772,SD,SD,SD,SD,SD,0,0,0,SD,0
IA,Washington,2021,1741,389,SD,SD,SD,SD,SD,0,SD,0,0,0
IA,Wayne,2021,543,71,7,9.90%,SD,SD,SD,SD,SD,0,0,0
IA,Webster,2021,2553,641,SD,SD,SD,SD,SD,0,SD,0,0,SD
IA,Winnebago,2021,650,158,SD,SD,SD,SD,0,0,SD,0,0,0
IA,Winneshiek,2021,1077,293,0,0.00%,0,0.00%,0,0,0,0,0,0
IA,Woodbury,2021,8642,2372,32,1.30%,14,0.60%,18,7,SD,SD,SD,0
IA,Worth,2021,534,126,SD,SD,0,0.00%,SD,0,0,0,0,0
IA,Wright,2021,981,240,12,5.00%,6,2.50%,6,SD,SD,0,0,SD
IA,Unknown,2021,0,SD,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Allen,2021,866,67,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Anderson,2021,645,47,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Atchison,2021,1087,89,8,9.00%,SD,SD,SD,0,SD,0,SD,0
KS,Barber,2021,330,17,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Barton,2021,1882,191,SD,SD,SD,SD,SD,0,SD,SD,0,0
KS,Bourbon,2021,1155,116,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Brown,2021,765,52,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Butler,2021,4779,224,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Chase,2021,159,14,SD,SD,SD,SD,0,0,0,SD,0,0
KS,Chautauqua,2021,220,50,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Cherokee,2021,1421,206,6,2.90%,SD,SD,SD,0,0,0,SD,0
KS,Cheyenne,2021,205,31,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Clark,2021,143,12,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Clay,2021,580,82,SD,SD,SD,SD,SD,SD,0,0,SD,0
KS,Cloud,2021,625,78,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Coffey,2021,496,70,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Comanche,2021,101,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Cowley,2021,2421,291,8,2.70%,SD,SD,7,SD,0,0,0,0
KS,Crawford,2021,2817,451,9,2.00%,SD,SD,8,0,SD,0,0,0
KS,Decatur,2021,189,26,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Dickinson,2021,1175,158,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Doniphan,2021,516,56,SD,SD,SD,SD,SD,0,SD,0,0,0
KS,Douglas,2021,6932,415,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Edwards,2021,188,20,SD,SD,SD,SD,SD,0,0,0,SD,0
KS,Elk,2021,163,6,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Ellis,2021,1896,238,6,2.50%,SD,SD,SD,SD,SD,0,0,0
KS,Ellsworth,2021,321,43,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Finney,2021,3641,517,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Ford,2021,3371,861,8,0.90%,SD,SD,7,SD,0,0,0,0
KS,Franklin,2021,1913,185,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Geary,2021,4570,545,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Gove,2021,210,8,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Graham,2021,126,44,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Grant,2021,662,79,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Gray,2021,517,27,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Greeley,2021,94,22,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Greenwood,2021,370,17,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Hamilton,2021,181,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Harper,2021,413,41,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Harvey,2021,2361,269,SD,SD,SD,SD,SD,SD,0,0,0,0
KS,Haskell,2021,349,13,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Hodgeman,2021,137,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Jackson,2021,1062,70,SD,SD,SD,SD,SD,0,SD,0,0,0
KS,Jefferson,2021,1208,70,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Jewell,2021,180,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Johnson,2021,45148,3636,19,0.50%,8,0.20%,11,SD,SD,0,SD,0
KS,Kearny,2021,340,15,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Kingman,2021,450,41,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Kiowa,2021,199,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Labette,2021,1562,137,8,5.80%,SD,SD,SD,SD,0,SD,0,0
KS,Lane,2021,112,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Leavenworth,2021,6377,789,10,1.30%,SD,SD,SD,SD,SD,0,SD,0
KS,Lincoln,2021,189,35,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Linn,2021,581,54,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Logan,2021,259,34,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Lyon,2021,2358,291,10,3.40%,SD,SD,7,SD,0,0,0,0
KS,McPherson,2021,1896,255,7,2.70%,SD,SD,6,SD,0,0,0,0
KS,Marion,2021,678,117,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Marshall,2021,759,127,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Meade,2021,351,17,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Miami,2021,2433,181,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Mitchell,2021,440,7,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Montgomery,2021,2253,344,25,7.30%,9,2.60%,16,SD,SD,0,SD,0
KS,Morris,2021,372,32,SD,SD,0,0.00%,SD,0,0,0,0,0
KS,Morton,2021,163,9,0,0.00%,0,0.00%,0,0,0,0,0,0
KS,Nemaha,2021,904,41,SD,SD,SD,SD,0,SD,0,0,0,0
KS,Neosho,2021,1195,120,SD,SD,SD,SD,SD,0,0,0,SD,0
