NAME,DP04_0073PE,DP04_0073PM,DP04_0074PE,DP04_0074PM,DP04_0075PE,DP04_0075PM
Geographic Area Name,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available
"Juneau City and Borough, Alaska",0.5,0.4,0.3,0.3,0.5,0.4
"Kenai Peninsula Borough, Alaska",3.2,0.6,2.6,0.6,1,0.4
"Ketchikan Gateway Borough, Alaska",0.2,0.2,0.7,0.4,0.7,0.4
"Kodiak Island Borough, Alaska",0.2,0.3,1.6,1.1,2.1,1.3
"Kusilvak Census Area, Alaska",25.3,3.4,16.4,3.3,2,1.3
"Lake and Peninsula Borough, Alaska",13.8,4.6,4.1,2.5,1.6,1.4
"Matanuska-Susitna Borough, Alaska",2.8,0.3,2.5,0.3,1,0.3
"Nome Census Area, Alaska",24.5,2,14.8,1.8,2.8,0.7
"North Slope Borough, Alaska",10.8,3.5,6.8,2.6,4,2.2
"Northwest Arctic Borough, Alaska",20,2.3,14.5,2.1,3.3,0.9
"Petersburg Borough, Alaska",0.8,0.6,2.6,2,0.9,0.6
"Prince of Wales-Hyder Census Area, Alaska",6.7,2.1,5,1.6,7.3,2
"Sitka City and Borough, Alaska",1.5,0.7,2.2,0.8,0.8,0.6
"Skagway Municipality, Alaska",2.6,2.1,3.6,2.2,2.1,1.6
"Southeast Fairbanks Census Area, Alaska",11.1,2.5,7.7,2.3,2.6,1.4
"Wrangell City and Borough, Alaska",1.2,1.3,0.6,0.6,1.3,0.9
"Yakutat City and Borough, Alaska",5.1,5.9,5.1,6.1,4.2,5
"Yukon-Koyukuk Census Area, Alaska",36.1,3.4,29.2,3.9,8.7,1.9
"Apache County, Arizona",12.8,1.1,8.2,0.7,7.9,0.7
"Cochise County, Arizona",0.4,0.2,0.8,0.4,1.4,0.3
"Coconino County, Arizona",3.3,0.4,2.6,0.4,1.4,0.4
"Gila County, Arizona",1.7,0.7,1.7,0.8,2.4,0.7
"Graham County, Arizona",1.3,0.7,1.5,0.7,1.5,0.8
"Greenlee County, Arizona",0.2,0.3,0,1.2,0.3,0.4
